id,Tweet,Label,rm_special,remove_number,remove_p,tokens,stopword,remove_whitespace_LT,remove_whitespace_multiple,preprocess_tweet
97,"@collegemenfess mahasiswa umum banyak yang belum tau value gabung organisasi dan organisasi yang juga jarang mau sosialisasi value dari gabung organisasi.
kampus juga udah mulai giat banget sosialisasi riset penelitian dan program kampus merdeka yang valuenya konversi sks mahasiswa",Mendukung,mahasiswa umum banyak yang belum tau value gabung organisasi dan organisasi yang juga jarang mau sosialisasi value dari gabung organisasi. kampus juga udah mulai giat banget sosialisasi riset penelitian dan program kampus merdeka yang valuenya konversi sks mahasiswa,mahasiswa umum banyak yang belum tau value gabung organisasi dan organisasi yang juga jarang mau sosialisasi value dari gabung organisasi. kampus juga udah mulai giat banget sosialisasi riset penelitian dan program kampus merdeka yang valuenya konversi sks mahasiswa,mahasiswa umum banyak yang belum tau value gabung organisasi dan organisasi yang juga jarang mau sosialisasi value dari gabung organisasi kampus juga udah mulai giat banget sosialisasi riset penelitian dan program kampus merdeka yang valuenya konversi sks mahasiswa,"['mahasiswa', 'umum', 'banyak', 'yang', 'belum', 'tau', 'value', 'gabung', 'organisasi', 'dan', 'organisasi', 'yang', 'juga', 'jarang', 'mau', 'sosialisasi', 'value', 'dari', 'gabung', 'organisasi', 'kampus', 'juga', 'udah', 'mulai', 'giat', 'banget', 'sosialisasi', 'riset', 'penelitian', 'dan', 'program', 'kampus', 'merdeka', 'yang', 'valuenya', 'konversi', 'sks', 'mahasiswa']",mahasiswa tau value gabung organisasi organisasi jarang sosialisasi value gabung organisasi kampus udah giat sosialisasi riset penelitian program kampus merdeka valuenya konversi sks mahasiswa,mahasiswa tau value gabung organisasi organisasi jarang sosialisasi value gabung organisasi kampus udah giat sosialisasi riset penelitian program kampus merdeka valuenya konversi sks mahasiswa,mahasiswa tau value gabung organisasi organisasi jarang sosialisasi value gabung organisasi kampus udah giat sosialisasi riset penelitian program kampus merdeka valuenya konversi sks mahasiswa,mahasiswa tau value gabung organisasi organisasi jarang sosialisasi value gabung organisasi kampus udah giat sosialisasi riset teliti program kampus merdeka valuenya konversi sks mahasiswa
98,"@collegemenfess Karena ada Kampus Merdeka yang membuka peluang memudahkan internship sana-sini. Dengan adanya program ini, organisasi modelan BEM, DPM, Hima, dll udah gak bakal relevan lagi. Daripada lu ikutan organisasi begitu, lebih baik ikut UKM seni ataupun UKM Ilmiah dan debat",Mendukung,Karena ada Kampus Merdeka yang membuka peluang memudahkan internship sana sini. Dengan adanya program ini organisasi modelan BEM DPM Hima dll udah gak bakal relevan lagi. Daripada lu ikutan organisasi begitu lebih baik ikut UKM seni ataupun UKM Ilmiah dan debat,Karena ada Kampus Merdeka yang membuka peluang memudahkan internship sana sini. Dengan adanya program ini organisasi modelan BEM DPM Hima dll udah gak bakal relevan lagi. Daripada lu ikutan organisasi begitu lebih baik ikut UKM seni ataupun UKM Ilmiah dan debat,Karena ada Kampus Merdeka yang membuka peluang memudahkan internship sana sini Dengan adanya program ini organisasi modelan BEM DPM Hima dll udah gak bakal relevan lagi Daripada lu ikutan organisasi begitu lebih baik ikut UKM seni ataupun UKM Ilmiah dan debat,"['Karena', 'ada', 'Kampus', 'Merdeka', 'yang', 'membuka', 'peluang', 'memudahkan', 'internship', 'sana', 'sini', 'Dengan', 'adanya', 'program', 'ini', 'organisasi', 'modelan', 'BEM', 'DPM', 'Hima', 'dll', 'udah', 'gak', 'bakal', 'relevan', 'lagi', 'Daripada', 'lu', 'ikutan', 'organisasi', 'begitu', 'lebih', 'baik', 'ikut', 'UKM', 'seni', 'ataupun', 'UKM', 'Ilmiah', 'dan', 'debat']",kampus merdeka membuka peluang memudahkan internship program organisasi modelan bem dpm hima dll udah gak relevan lu ikutan organisasi ukm seni ukm ilmiah debat,kampus merdeka membuka peluang memudahkan internship program organisasi modelan bem dpm hima dll udah gak relevan lu ikutan organisasi ukm seni ukm ilmiah debat,kampus merdeka membuka peluang memudahkan internship program organisasi modelan bem dpm hima dll udah gak relevan lu ikutan organisasi ukm seni ukm ilmiah debat,kampus merdeka buka peluang mudah internship program organisasi model bem dpm hima dll udah gak relevan lu ikut organisasi ukm seni ukm ilmiah debat
99,@thefiswrongffs Udah kemakan sama program kampus merdeka menurutku,Mendukung,Udah kemakan sama program kampus merdeka menurutku,Udah kemakan sama program kampus merdeka menurutku,Udah kemakan sama program kampus merdeka menurutku,"['Udah', 'kemakan', 'sama', 'program', 'kampus', 'merdeka', 'menurutku']",udah kemakan program kampus merdeka menurutku,udah kemakan program kampus merdeka menurutku,udah kemakan program kampus merdeka menurutku,udah makan program kampus merdeka turut
100,"@collegemenfess Mungkin karena udah ada kampus merdeka, program langsung dari pemerintah plus dapet uang saku dan sertifikat juga. Jadi mereka lebih memilih ke program tersebut seperti acu hehe 👌",Mendukung,Mungkin karena udah ada kampus merdeka program langsung dari pemerintah plus dapet uang saku dan sertifikat juga. Jadi mereka lebih memilih ke program tersebut seperti acu hehe ?,Mungkin karena udah ada kampus merdeka program langsung dari pemerintah plus dapet uang saku dan sertifikat juga. Jadi mereka lebih memilih ke program tersebut seperti acu hehe ?,Mungkin karena udah ada kampus merdeka program langsung dari pemerintah plus dapet uang saku dan sertifikat juga Jadi mereka lebih memilih ke program tersebut seperti acu hehe ,"['Mungkin', 'karena', 'udah', 'ada', 'kampus', 'merdeka', 'program', 'langsung', 'dari', 'pemerintah', 'plus', 'dapet', 'uang', 'saku', 'dan', 'sertifikat', 'juga', 'Jadi', 'mereka', 'lebih', 'memilih', 'ke', 'program', 'tersebut', 'seperti', 'acu', 'hehe']",udah kampus merdeka program langsung pemerintah plus dapet uang saku sertifikat memilih program acu hehe,udah kampus merdeka program langsung pemerintah plus dapet uang saku sertifikat memilih program acu hehe,udah kampus merdeka program langsung pemerintah plus dapet uang saku sertifikat memilih program acu hehe,udah kampus merdeka program langsung perintah plus dapet uang saku sertifikat pilih program acu hehe
101,"@collegemenfess Banyak faktor sih, tapi salah satunya yang menjadi faktor besarnya adalah karena banyaknya mahasiswa yang lebih tertarik ikut program Kampus Merdeka.

Mau join program Kampus Merdeka atau gabung organisasi pun sama-sama punya manfaat tersendiri sih~",Mendukung,Banyak faktor sih tapi salah satunya yang menjadi faktor besarnya adalah karena banyaknya mahasiswa yang lebih tertarik ikut program Kampus Merdeka. Mau join program Kampus Merdeka atau gabung organisasi pun sama sama punya manfaat tersendiri sih~,Banyak faktor sih tapi salah satunya yang menjadi faktor besarnya adalah karena banyaknya mahasiswa yang lebih tertarik ikut program Kampus Merdeka. Mau join program Kampus Merdeka atau gabung organisasi pun sama sama punya manfaat tersendiri sih~,Banyak faktor sih tapi salah satunya yang menjadi faktor besarnya adalah karena banyaknya mahasiswa yang lebih tertarik ikut program Kampus Merdeka Mau join program Kampus Merdeka atau gabung organisasi pun sama sama punya manfaat tersendiri sih,"['Banyak', 'faktor', 'sih', 'tapi', 'salah', 'satunya', 'yang', 'menjadi', 'faktor', 'besarnya', 'adalah', 'karena', 'banyaknya', 'mahasiswa', 'yang', 'lebih', 'tertarik', 'ikut', 'program', 'Kampus', 'Merdeka', 'Mau', 'join', 'program', 'Kampus', 'Merdeka', 'atau', 'gabung', 'organisasi', 'pun', 'sama', 'sama', 'punya', 'manfaat', 'tersendiri', 'sih']",faktor sih salah satunya faktor besarnya banyaknya mahasiswa tertarik program kampus merdeka join program kampus merdeka gabung organisasi manfaat tersendiri sih,faktor sih salah satunya faktor besarnya banyaknya mahasiswa tertarik program kampus merdeka join program kampus merdeka gabung organisasi manfaat tersendiri sih,faktor sih salah satunya faktor besarnya banyaknya mahasiswa tertarik program kampus merdeka join program kampus merdeka gabung organisasi manfaat tersendiri sih,faktor sih salah satu faktor besar banyak mahasiswa tarik program kampus merdeka join program kampus merdeka gabung organisasi manfaat sendiri sih
102,"@collegemenfess Kampus merdeka membebaskan mahasiswa terjun ke industri. Dr organisasi embel2 menunjang karir, ya mending intern lgsg d industrinya, dpt duit, tuker sks. Satu lagi, program kampus merdeka membantu mereka yg bosen dgn sistem teacher learning method atau duduk tok dengerin dosen",Mendukung,Kampus merdeka membebaskan mahasiswa terjun ke industri. Dr organisasi embel2 menunjang karir ya mending intern lgsg d industrinya dpt duit tuker sks. Satu lagi program kampus merdeka membantu mereka yg bosen dgn sistem teacher learning method atau duduk tok dengerin dosen,Kampus merdeka membebaskan mahasiswa terjun ke industri. Dr organisasi embel menunjang karir ya mending intern lgsg d industrinya dpt duit tuker sks. Satu lagi program kampus merdeka membantu mereka yg bosen dgn sistem teacher learning method atau duduk tok dengerin dosen,Kampus merdeka membebaskan mahasiswa terjun ke industri Dr organisasi embel menunjang karir ya mending intern lgsg d industrinya dpt duit tuker sks Satu lagi program kampus merdeka membantu mereka yg bosen dgn sistem teacher learning method atau duduk tok dengerin dosen,"['Kampus', 'merdeka', 'membebaskan', 'mahasiswa', 'terjun', 'ke', 'industri', 'Dr', 'organisasi', 'embel', 'menunjang', 'karir', 'ya', 'mending', 'intern', 'lgsg', 'd', 'industrinya', 'dpt', 'duit', 'tuker', 'sks', 'Satu', 'lagi', 'program', 'kampus', 'merdeka', 'membantu', 'mereka', 'yg', 'bosen', 'dgn', 'sistem', 'teacher', 'learning', 'method', 'atau', 'duduk', 'tok', 'dengerin', 'dosen']",kampus merdeka membebaskan mahasiswa terjun industri dr organisasi embel menunjang karir ya mending intern lgsg d industrinya dpt duit tuker sks program kampus merdeka membantu yg bosen dgn sistem teacher learning method duduk tok dengerin dosen,kampus merdeka membebaskan mahasiswa terjun industri dr organisasi embel menunjang karir ya mending intern lgsg d industrinya dpt duit tuker sks program kampus merdeka membantu yg bosen dgn sistem teacher learning method duduk tok dengerin dosen,kampus merdeka membebaskan mahasiswa terjun industri dr organisasi embel menunjang karir ya mending intern lgsg d industrinya dpt duit tuker sks program kampus merdeka membantu yg bosen dgn sistem teacher learning method duduk tok dengerin dosen,kampus merdeka bebas mahasiswa terjun industri dr organisasi embel tunjang karir ya mending intern lgsg d industri dpt duit tuker sks program kampus merdeka bantu yg bosen dgn sistem teacher learning method duduk tok dengerin dosen
103,"@collegemenfess Karena sekarang ada program kampus merdeka, jadi mahasiswa lebih tertarik buat cari pengalaman di luar sehingga nggak tertarik sama organisasi kampus",Mendukung,Karena sekarang ada program kampus merdeka jadi mahasiswa lebih tertarik buat cari pengalaman di luar sehingga nggak tertarik sama organisasi kampus,Karena sekarang ada program kampus merdeka jadi mahasiswa lebih tertarik buat cari pengalaman di luar sehingga nggak tertarik sama organisasi kampus,Karena sekarang ada program kampus merdeka jadi mahasiswa lebih tertarik buat cari pengalaman di luar sehingga nggak tertarik sama organisasi kampus,"['Karena', 'sekarang', 'ada', 'program', 'kampus', 'merdeka', 'jadi', 'mahasiswa', 'lebih', 'tertarik', 'buat', 'cari', 'pengalaman', 'di', 'luar', 'sehingga', 'nggak', 'tertarik', 'sama', 'organisasi', 'kampus']",program kampus merdeka mahasiswa tertarik cari pengalaman nggak tertarik organisasi kampus,program kampus merdeka mahasiswa tertarik cari pengalaman nggak tertarik organisasi kampus,program kampus merdeka mahasiswa tertarik cari pengalaman nggak tertarik organisasi kampus,program kampus merdeka mahasiswa tarik cari alam nggak tarik organisasi kampus
104,"@heiranyuri @raymndjo Aku juga bakal selalu rekomen kegiatan Kampus Merdeka. Karena aku udah 2x ikutan program itu dan lebih bermanfaat.
Jujur selama ikut UKM duitku abis terus buat hal yg ga penting, kalo ikut intern malah dapet duit. Atau mending joki tugas aja itu lebih menghasilkan",Mendukung,Aku juga bakal selalu rekomen kegiatan Kampus Merdeka. Karena aku udah 2x ikutan program itu dan lebih bermanfaat. Jujur selama ikut UKM duitku abis terus buat hal yg ga penting kalo ikut intern malah dapet duit. Atau mending joki tugas aja itu lebih menghasilkan,Aku juga bakal selalu rekomen kegiatan Kampus Merdeka. Karena aku udah x ikutan program itu dan lebih bermanfaat. Jujur selama ikut UKM duitku abis terus buat hal yg ga penting kalo ikut intern malah dapet duit. Atau mending joki tugas aja itu lebih menghasilkan,Aku juga bakal selalu rekomen kegiatan Kampus Merdeka Karena aku udah x ikutan program itu dan lebih bermanfaat Jujur selama ikut UKM duitku abis terus buat hal yg ga penting kalo ikut intern malah dapet duit Atau mending joki tugas aja itu lebih menghasilkan,"['Aku', 'juga', 'bakal', 'selalu', 'rekomen', 'kegiatan', 'Kampus', 'Merdeka', 'Karena', 'aku', 'udah', 'x', 'ikutan', 'program', 'itu', 'dan', 'lebih', 'bermanfaat', 'Jujur', 'selama', 'ikut', 'UKM', 'duitku', 'abis', 'terus', 'buat', 'hal', 'yg', 'ga', 'penting', 'kalo', 'ikut', 'intern', 'malah', 'dapet', 'duit', 'Atau', 'mending', 'joki', 'tugas', 'aja', 'itu', 'lebih', 'menghasilkan']",rekomen kegiatan kampus merdeka udah x ikutan program bermanfaat jujur ukm duitku yg ga kalo intern dapet duit mending joki tugas aja menghasilkan,rekomen kegiatan kampus merdeka udah x ikutan program bermanfaat jujur ukm duitku yg ga kalo intern dapet duit mending joki tugas aja menghasilkan,rekomen kegiatan kampus merdeka udah x ikutan program bermanfaat jujur ukm duitku yg ga kalo intern dapet duit mending joki tugas aja menghasilkan,rekomen giat kampus merdeka udah x ikut program manfaat jujur ukm duit yg ga kalo intern dapet duit mending joki tugas aja hasil
105,"@ipb_menfess Memutuskan apa yang ingin mereka ikuti atau enggak. Bukan jelek-jelekin seolah generalisasi. 
Gua tau kampus merdeka kayak gimana, cuman enggak semua bisa lolos atau berkesempatan ikut itu program",Mendukung,_menfess Memutuskan apa yang ingin mereka ikuti atau enggak. Bukan jelek jelekin seolah generalisasi. Gua tau kampus merdeka kayak gimana cuman enggak semua bisa lolos atau berkesempatan ikut itu program,_menfess Memutuskan apa yang ingin mereka ikuti atau enggak. Bukan jelek jelekin seolah generalisasi. Gua tau kampus merdeka kayak gimana cuman enggak semua bisa lolos atau berkesempatan ikut itu program,menfess Memutuskan apa yang ingin mereka ikuti atau enggak Bukan jelek jelekin seolah generalisasi Gua tau kampus merdeka kayak gimana cuman enggak semua bisa lolos atau berkesempatan ikut itu program,"['menfess', 'Memutuskan', 'apa', 'yang', 'ingin', 'mereka', 'ikuti', 'atau', 'enggak', 'Bukan', 'jelek', 'jelekin', 'seolah', 'generalisasi', 'Gua', 'tau', 'kampus', 'merdeka', 'kayak', 'gimana', 'cuman', 'enggak', 'semua', 'bisa', 'lolos', 'atau', 'berkesempatan', 'ikut', 'itu', 'program']",menfess memutuskan ikuti jelek jelekin generalisasi gua tau kampus merdeka kayak gimana cuman lolos berkesempatan program,menfess memutuskan ikuti jelek jelekin generalisasi gua tau kampus merdeka kayak gimana cuman lolos berkesempatan program,menfess memutuskan ikuti jelek jelekin generalisasi gua tau kampus merdeka kayak gimana cuman lolos berkesempatan program,menfess putus ikut jelek jelekin generalisasi gua tau kampus merdeka kayak gimana cuman lolos sempat program
106,"Anyway, lebih bagus ikut program Kampus Merdeka dah lu.",Mendukung,Anyway lebih bagus ikut program Kampus Merdeka dah lu.,Anyway lebih bagus ikut program Kampus Merdeka dah lu.,Anyway lebih bagus ikut program Kampus Merdeka dah lu,"['Anyway', 'lebih', 'bagus', 'ikut', 'program', 'Kampus', 'Merdeka', 'dah', 'lu']",anyway bagus program kampus merdeka dah lu,anyway bagus program kampus merdeka dah lu,anyway bagus program kampus merdeka dah lu,anyway bagus program kampus merdeka dah lu
107,"Sumpah program kampus merdeka bener² kegiatan full bgt ajg
Teko jam 8 - 11 on boarding edufarmers
Lanjot jam 2 siang - 4 sore opening dan closingan
Ditambah neh dimei tugas dl jam 5 sore - jam 9 bengi jancokkk
Akehh menn bgstt!!!! 😭😭😭",Mendukung,Sumpah program kampus merdeka bener? kegiatan full bgt ajg Teko jam 8 11 on boarding edufarmers Lanjot jam 2 siang 4 sore opening dan closingan Ditambah neh dimei tugas dl jam 5 sore jam 9 bengi jancokkk Akehh menn bgstt!!!! ???,Sumpah program kampus merdeka bener? kegiatan full bgt ajg Teko jam   on boarding edufarmers Lanjot jam  siang  sore opening dan closingan Ditambah neh dimei tugas dl jam  sore jam  bengi jancokkk Akehh menn bgstt!!!! ???,Sumpah program kampus merdeka bener kegiatan full bgt ajg Teko jam   on boarding edufarmers Lanjot jam  siang  sore opening dan closingan Ditambah neh dimei tugas dl jam  sore jam  bengi jancokkk Akehh menn bgstt ,"['Sumpah', 'program', 'kampus', 'merdeka', 'bener', 'kegiatan', 'full', 'bgt', 'ajg', 'Teko', 'jam', 'on', 'boarding', 'edufarmers', 'Lanjot', 'jam', 'siang', 'sore', 'opening', 'dan', 'closingan', 'Ditambah', 'neh', 'dimei', 'tugas', 'dl', 'jam', 'sore', 'jam', 'bengi', 'jancokkk', 'Akehh', 'menn', 'bgstt']",sumpah program kampus merdeka bener kegiatan full bgt ajg teko jam on boarding edufarmers lanjot jam siang sore opening closingan ditambah neh dimei tugas dl jam sore jam bengi jancokkk akehh menn bgstt,sumpah program kampus merdeka bener kegiatan full bgt ajg teko jam on boarding edufarmers lanjot jam siang sore opening closingan ditambah neh dimei tugas dl jam sore jam bengi jancokkk akehh menn bgstt,sumpah program kampus merdeka bener kegiatan full bgt ajg teko jam on boarding edufarmers lanjot jam siang sore opening closingan ditambah neh dimei tugas dl jam sore jam bengi jancokkk akehh menn bgstt,sumpah program kampus merdeka bener giat full bgt ajg teko jam on boarding edufarmers lanjot jam siang sore opening closingan tambah neh mei tugas dl jam sore jam bengi jancokkk akehh menn bgstt
108,@worksfess ada dari 2020an keknya. kebijakan ugm per 2023 semua mahasiswa harus ikut setidaknya 1 program kampus merdeka si. jujur menurutku lebih valuable dan berguna drpd ikut organisasi heheh makanya ada shifting interest kan dari angkatan 19 dst,Mendukung,ada dari 2020an keknya. kebijakan ugm per 2023 semua mahasiswa harus ikut setidaknya 1 program kampus merdeka si. jujur menurutku lebih valuable dan berguna drpd ikut organisasi heheh makanya ada shifting interest kan dari angkatan 19 dst,ada dari an keknya. kebijakan ugm per  semua mahasiswa harus ikut setidaknya  program kampus merdeka si. jujur menurutku lebih valuable dan berguna drpd ikut organisasi heheh makanya ada shifting interest kan dari angkatan  dst,ada dari an keknya kebijakan ugm per  semua mahasiswa harus ikut setidaknya  program kampus merdeka si jujur menurutku lebih valuable dan berguna drpd ikut organisasi heheh makanya ada shifting interest kan dari angkatan  dst,"['ada', 'dari', 'an', 'keknya', 'kebijakan', 'ugm', 'per', 'semua', 'mahasiswa', 'harus', 'ikut', 'setidaknya', 'program', 'kampus', 'merdeka', 'si', 'jujur', 'menurutku', 'lebih', 'valuable', 'dan', 'berguna', 'drpd', 'ikut', 'organisasi', 'heheh', 'makanya', 'ada', 'shifting', 'interest', 'kan', 'dari', 'angkatan', 'dst']",an keknya kebijakan ugm mahasiswa program kampus merdeka si jujur menurutku valuable berguna organisasi heheh shifting interest angkatan dst,an keknya kebijakan ugm mahasiswa program kampus merdeka si jujur menurutku valuable berguna organisasi heheh shifting interest angkatan dst,an keknya kebijakan ugm mahasiswa program kampus merdeka si jujur menurutku valuable berguna organisasi heheh shifting interest angkatan dst,an kek bijak ugm mahasiswa program kampus merdeka si jujur turut valuable guna organisasi heheh shifting interest angkat dst
109,"@worksfess Mantan dps ku dulu yang sekarang masi akrab aja suka mamerin program kampus merdeka, emang bikin ini 😂",Mendukung,Mantan dps ku dulu yang sekarang masi akrab aja suka mamerin program kampus merdeka emang bikin ini ?,Mantan dps ku dulu yang sekarang masi akrab aja suka mamerin program kampus merdeka emang bikin ini ?,Mantan dps ku dulu yang sekarang masi akrab aja suka mamerin program kampus merdeka emang bikin ini ,"['Mantan', 'dps', 'ku', 'dulu', 'yang', 'sekarang', 'masi', 'akrab', 'aja', 'suka', 'mamerin', 'program', 'kampus', 'merdeka', 'emang', 'bikin', 'ini']",mantan dps ku masi akrab aja suka mamerin program kampus merdeka bikin,mantan dps ku masi akrab aja suka mamerin program kampus merdeka bikin,mantan dps ku masi akrab aja suka mamerin program kampus merdeka bikin,mantan dps ku mas akrab aja suka mamerin program kampus merdeka bikin
110,@verotrinov iyaaa udah lebih banyak yang mikirin prospek ke depannya dan pengalaman program kampus merdeka dianggap lebih menarik untuk companies dibandingkan di ormawa🥹,Mendukung,iyaaa udah lebih banyak yang mikirin prospek ke depannya dan pengalaman program kampus merdeka dianggap lebih menarik untuk companies dibandingkan di ormawa?,iyaaa udah lebih banyak yang mikirin prospek ke depannya dan pengalaman program kampus merdeka dianggap lebih menarik untuk companies dibandingkan di ormawa?,iyaaa udah lebih banyak yang mikirin prospek ke depannya dan pengalaman program kampus merdeka dianggap lebih menarik untuk companies dibandingkan di ormawa,"['iyaaa', 'udah', 'lebih', 'banyak', 'yang', 'mikirin', 'prospek', 'ke', 'depannya', 'dan', 'pengalaman', 'program', 'kampus', 'merdeka', 'dianggap', 'lebih', 'menarik', 'untuk', 'companies', 'dibandingkan', 'di', 'ormawa']",iyaaa udah mikirin prospek depannya pengalaman program kampus merdeka dianggap menarik companies dibandingkan ormawa,iyaaa udah mikirin prospek depannya pengalaman program kampus merdeka dianggap menarik companies dibandingkan ormawa,iyaaa udah mikirin prospek depannya pengalaman program kampus merdeka dianggap menarik companies dibandingkan ormawa,iyaaa udah mikirin prospek depan alam program kampus merdeka anggap tarik companies banding ormawa
111,+ the exhaustion of mahasiswa yang ngeliat banyak proker bem himpunan bakar duit &amp; tenaga gajelas demi 'nama baik kabinet' ngebuat banyak mahasiswa makin anti organisasi dan lebih mikirin masa depan sendiri lewat program kampus merdeka...,Mendukung,+ the exhaustion of mahasiswa yang ngeliat banyak proker bem himpunan bakar duit &amp; tenaga gajelas demi 'nama baik kabinet' ngebuat banyak mahasiswa makin anti organisasi dan lebih mikirin masa depan sendiri lewat program kampus merdeka...,+ the exhaustion of mahasiswa yang ngeliat banyak proker bem himpunan bakar duit &amp; tenaga gajelas demi 'nama baik kabinet' ngebuat banyak mahasiswa makin anti organisasi dan lebih mikirin masa depan sendiri lewat program kampus merdeka..., the exhaustion of mahasiswa yang ngeliat banyak proker bem himpunan bakar duit amp tenaga gajelas demi nama baik kabinet ngebuat banyak mahasiswa makin anti organisasi dan lebih mikirin masa depan sendiri lewat program kampus merdeka,"['the', 'exhaustion', 'of', 'mahasiswa', 'yang', 'ngeliat', 'banyak', 'proker', 'bem', 'himpunan', 'bakar', 'duit', 'amp', 'tenaga', 'gajelas', 'demi', 'nama', 'baik', 'kabinet', 'ngebuat', 'banyak', 'mahasiswa', 'makin', 'anti', 'organisasi', 'dan', 'lebih', 'mikirin', 'masa', 'depan', 'sendiri', 'lewat', 'program', 'kampus', 'merdeka']",the exhaustion of mahasiswa ngeliat proker bem himpunan bakar duit amp tenaga gajelas nama kabinet ngebuat mahasiswa anti organisasi mikirin program kampus merdeka,the exhaustion of mahasiswa ngeliat proker bem himpunan bakar duit amp tenaga gajelas nama kabinet ngebuat mahasiswa anti organisasi mikirin program kampus merdeka,the exhaustion of mahasiswa ngeliat proker bem himpunan bakar duit amp tenaga gajelas nama kabinet ngebuat mahasiswa anti organisasi mikirin program kampus merdeka,the exhaustion of mahasiswa ngeliat proker bem himpun bakar duit amp tenaga gajelas nama kabinet ngebuat mahasiswa anti organisasi mikirin program kampus merdeka
112,"@alanstudy Studi Independen kampus merdeka lan, ya sma kyk kuliah sebenarnya dan diakhir program ada project” gtu",Mendukung,Studi Independen kampus merdeka lan ya sma kyk kuliah sebenarnya dan diakhir program ada project? gtu,Studi Independen kampus merdeka lan ya sma kyk kuliah sebenarnya dan diakhir program ada project? gtu,Studi Independen kampus merdeka lan ya sma kyk kuliah sebenarnya dan diakhir program ada project gtu,"['Studi', 'Independen', 'kampus', 'merdeka', 'lan', 'ya', 'sma', 'kyk', 'kuliah', 'sebenarnya', 'dan', 'diakhir', 'program', 'ada', 'project', 'gtu']",studi independen kampus merdeka lan ya sma kyk kuliah diakhir program project gtu,studi independen kampus merdeka lan ya sma kyk kuliah diakhir program project gtu,studi independen kampus merdeka lan ya sma kyk kuliah diakhir program project gtu,studi independen kampus merdeka lan ya sma kyk kuliah akhir program project gtu
113,"@tanyakanrl BRI
alasannya disuruh sama bos

temenku jg pke BRI
Karena mau ikut program kampus merdeka

tetanggaku pke BRI
katanya banknya dekat dari rumah",Mendukung,BRI alasannya disuruh sama bos temenku jg pke BRI Karena mau ikut program kampus merdeka tetanggaku pke BRI katanya banknya dekat dari rumah,BRI alasannya disuruh sama bos temenku jg pke BRI Karena mau ikut program kampus merdeka tetanggaku pke BRI katanya banknya dekat dari rumah,BRI alasannya disuruh sama bos temenku jg pke BRI Karena mau ikut program kampus merdeka tetanggaku pke BRI katanya banknya dekat dari rumah,"['BRI', 'alasannya', 'disuruh', 'sama', 'bos', 'temenku', 'jg', 'pke', 'BRI', 'Karena', 'mau', 'ikut', 'program', 'kampus', 'merdeka', 'tetanggaku', 'pke', 'BRI', 'katanya', 'banknya', 'dekat', 'dari', 'rumah']",bri alasannya disuruh bos temenku jg pke bri program kampus merdeka tetanggaku pke bri banknya rumah,bri alasannya disuruh bos temenku jg pke bri program kampus merdeka tetanggaku pke bri banknya rumah,bri alasannya disuruh bos temenku jg pke bri program kampus merdeka tetanggaku pke bri banknya rumah,bri alas suruh bos temenku jg pke bri program kampus merdeka tetangga pke bri bank rumah
114,"@worksfess seringnya kebutuhan company banyak yg ga keluar dikampus, yes memang harus banyak belajar sendiri. tp skrng ada program kampus merdeka ko, bisa jadi jalan buat ngembangin kompetensi sesuai kebutuhan perusahaan",Mendukung,seringnya kebutuhan company banyak yg ga keluar dikampus yes memang harus banyak belajar sendiri. tp skrng ada program kampus merdeka ko bisa jadi jalan buat ngembangin kompetensi sesuai kebutuhan perusahaan,seringnya kebutuhan company banyak yg ga keluar dikampus yes memang harus banyak belajar sendiri. tp skrng ada program kampus merdeka ko bisa jadi jalan buat ngembangin kompetensi sesuai kebutuhan perusahaan,seringnya kebutuhan company banyak yg ga keluar dikampus yes memang harus banyak belajar sendiri tp skrng ada program kampus merdeka ko bisa jadi jalan buat ngembangin kompetensi sesuai kebutuhan perusahaan,"['seringnya', 'kebutuhan', 'company', 'banyak', 'yg', 'ga', 'keluar', 'dikampus', 'yes', 'memang', 'harus', 'banyak', 'belajar', 'sendiri', 'tp', 'skrng', 'ada', 'program', 'kampus', 'merdeka', 'ko', 'bisa', 'jadi', 'jalan', 'buat', 'ngembangin', 'kompetensi', 'sesuai', 'kebutuhan', 'perusahaan']",kebutuhan company yg ga dikampus yes belajar tp skrng program kampus merdeka ko jalan ngembangin kompetensi sesuai kebutuhan perusahaan,kebutuhan company yg ga dikampus yes belajar tp skrng program kampus merdeka ko jalan ngembangin kompetensi sesuai kebutuhan perusahaan,kebutuhan company yg ga dikampus yes belajar tp skrng program kampus merdeka ko jalan ngembangin kompetensi sesuai kebutuhan perusahaan,butuh company yg ga kampus yes ajar tp skrng program kampus merdeka ko jalan ngembangin kompetensi sesuai butuh usaha
